1779983780.1026258,0.0,0.0,4.01,0.0,0.0,0.0
1779983781.0901973,0.0,0.0,4.02,0.0,0.0,0.0
1779983782.095841,0.0,0.0,4.01,0.0,0.0,0.0
1779983783.094144,0.0,0.0,4.01,0.0,0.0,0.0
1779983784.130961,0.0,0.0,4.01,0.0,0.0,0.0
1779983785.1418152,0.0,0.0,4.02,0.0,0.0,0.0
1779983786.0927699,0.0,0.0,4.01,0.0,0.0,0.0
1779983787.0874836,0.0,0.0,4.01,0.0,0.0,0.0
1779983788.0921862,0.0,0.0,4.01,0.0,0.0,0.0
1779983789.1506205,0.0,0.0,4.02,0.0,0.0,0.0
1779983790.0889869,0.0,0.0,4.01,0.0,0.0,0.0
1779983791.0923789,0.0,0.0,4.01,0.0,0.0,0.0
1779983792.123542,0.0,0.0,4.03,0.0,0.0,0.0
1779983793.099617,0.0,0.0,4.02,0.0,0.0,0.0
1779983794.0914404,0.0,0.0,4.01,0.0,0.0,0.0
1779983795.1029382,0.0,0.0,4.01,0.0,0.0,0.0
1779983796.1014962,0.0,0.0,4.01,0.0,0.0,0.0
1779983797.0937667,0.0,0.0,4.01,0.0,0.0,0.0
1779983798.0940936,0.0,0.0,4.01,0.0,0.0,0.0
1779983799.0956442,0.0,0.0,4.01,0.0,0.0,0.0
1779983800.0927002,0.0,0.0,4.02,0.0,0.0,0.0
1779983801.1094668,0.0,0.0,4.01,0.0,0.0,0.0
1779983802.102435,0.0,0.0,4.02,0.0,0.0,0.0
1779983803.0927768,0.0,0.0,4.02,0.0,0.0,0.0
1779983804.138923,0.0,0.0,4.02,0.0,0.0,0.0
1779983805.0897818,0.0,0.0,4.01,0.0,0.0,0.0
1779983806.0939097,0.0,0.0,4.03,0.0,0.0,0.0
1779983807.1388278,0.0,0.0,4.01,0.0,0.0,0.0
1779983808.0981233,0.0,0.0,4.01,0.0,0.0,0.0
1779983809.1003428,0.0,0.0,4.01,0.0,0.0,0.0
1779983810.1441846,0.0,0.0,4.02,0.0,0.0,0.0
1779983811.1019218,0.0,0.0,4.02,0.0,0.0,0.0
1779983812.1452365,0.0,0.0,4.01,0.0,0.0,0.0
1779983813.177383,0.0,0.0,4.02,0.0,0.0,0.0
1779983814.1083179,0.0,0.0,4.01,0.0,0.0,0.0
1779983815.0920525,0.0,0.0,4.02,0.0,0.0,0.0
1779983816.110818,0.0,0.0,4.02,0.0,0.0,0.0
1779983817.0935447,0.0,0.0,4.01,0.0,0.0,0.0
1779983818.092937,0.0,0.0,4.01,0.0,0.0,0.0
1779983819.0995774,0.0,0.0,4.0,0.0,0.0,0.0
1779983820.0890124,0.0,0.0,4.0,0.0,0.0,0.0
1779983821.0928936,0.0,0.0,4.02,0.0,0.0,0.0
1779983822.1477132,0.0,0.0,4.01,0.0,0.0,0.0
1779983823.097036,0.0,0.0,4.01,0.0,0.0,0.0
1779983824.0976338,0.0,0.0,4.01,0.0,0.0,0.0
1779983825.1441681,0.0,0.0,4.01,0.0,0.0,0.0
1779983826.0929928,0.0,0.0,4.02,0.0,0.0,0.0
1779983827.0939932,0.0,0.0,4.02,0.0,0.0,0.0
1779983828.1276243,0.0,0.0,4.01,0.0,0.0,0.0
1779983829.0968938,0.0,0.0,4.01,0.0,0.0,0.0
1779983830.0893373,0.0,0.0,4.02,0.0,0.0,0.0
1779983831.106253,0.0,0.0,4.01,0.0,0.0,0.0
1779983832.0935738,0.0,0.0,4.01,0.0,0.0,0.0
1779983833.0886505,0.0,0.0,4.0,0.0,0.0,0.0
1779983834.0929396,0.0,0.0,4.01,0.0,0.0,0.0
1779983835.0898597,0.0,0.0,4.03,0.0,0.0,0.0
1779983836.0893295,0.0,0.0,4.01,0.0,0.0,0.0
1779983837.1542006,0.0,0.0,4.02,0.0,0.0,0.0
1779983838.0986745,0.0,0.0,4.0,0.0,0.0,0.0
1779983839.089376,0.0,0.0,4.02,0.0,0.0,0.0
1779983840.1232395,0.0,0.0,4.02,0.0,0.0,0.0
1779983841.0913694,0.0,0.0,4.01,0.0,0.0,0.0
1779983842.0898733,0.0,0.0,4.01,0.0,0.0,0.0
1779983843.0969727,0.0,0.0,4.03,0.0,0.0,0.0
1779983844.0974307,0.0,0.0,4.02,0.0,0.0,0.0
1779983845.090159,0.0,0.0,4.0,0.0,0.0,0.0
1779983846.1384864,0.0,0.0,4.02,0.0,0.0,0.0
1779983847.0912054,0.0,0.0,4.02,0.0,0.0,0.0
1779983848.0884395,0.0,0.0,4.02,0.0,0.0,0.0
1779983849.1421459,0.0,0.0,4.02,0.0,0.0,0.0
1779983850.0913756,0.0,0.0,4.01,0.0,0.0,0.0
1779983851.088789,0.0,0.0,4.01,0.0,0.0,0.0
1779983852.1272907,0.0,0.0,4.01,0.0,0.0,0.0
1779983853.0989215,0.0,0.0,4.01,0.0,0.0,0.0
1779983854.0911636,0.0,0.0,4.02,0.0,0.0,0.0
1779983855.155037,0.0,0.0,4.01,0.0,0.0,0.0
1779983856.1073978,0.0,0.0,4.01,0.0,0.0,0.0
1779983857.0968444,0.0,0.0,4.02,0.0,0.0,0.0
1779983858.149738,0.0,0.0,4.04,0.0,0.0,0.0
1779983859.0926144,0.0,0.0,4.01,0.0,0.0,0.0
1779983860.1006145,0.0,0.0,4.02,0.0,0.0,0.0
1779983861.1478312,0.0,0.0,4.02,0.0,0.0,0.0
1779983862.091548,0.0,0.0,4.02,0.0,0.0,0.0
1779983863.0906668,0.0,0.0,4.01,0.0,0.0,0.0
1779983864.1477993,0.0,0.0,4.01,0.0,0.0,0.0
1779983865.0922089,0.0,0.0,4.02,0.0,0.0,0.0
1779983866.1096084,0.0,0.0,4.02,0.0,0.0,0.0
1779983867.165983,0.0,0.0,4.01,0.0,0.0,0.0
1779983868.0899525,0.0,0.0,4.0,0.0,0.0,0.0
1779983869.089653,0.0,0.0,3.99,0.0,0.0,0.0
1779983870.187276,0.0,0.0,4.02,0.0,0.0,0.0
